title,release_date,vote_average,vote_count
Obsession,2026-05-13,8.222,1992
Disclosure Day,2026-06-10,6.7,792
Scary Movie,2026-06-03,5.411,414
Backrooms,2026-05-27,6.8,879
Toy Story 5,2026-06-17,7.403,465
The Devil Wears Prada 2,2026-04-29,6.961,1206
Deep Water,2026-04-30,6.741,112
Citizen Vigilante,2026-06-19,6.634,179
Michael,2026-04-22,8.704,3293
Minions & Monsters,2026-06-24,6.642,95
Mortal Kombat II,2026-05-06,7.983,1846
Enola Holmes 3,2026-06-30,7.1,204
Your Heart Will Be Broken,2026-03-26,7.0,106
The Sheep Detectives,2026-04-30,7.77,685
The Shawshank Redemption,1994-09-23,8.724,30692
Supergirl,2026-06-24,6.264,354
Project Hail Mary,2026-03-15,8.678,5683
Damage,1992-12-02,6.586,700
Toy Story 4,2019-06-19,7.46,10679
Avatar: Fire and Ash,2025-12-17,7.614,3678
